#rtt sig_str x y
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 16.66 6.44
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 -15.75 21.57
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
0 0 19.46 23.58
